"Date","Plot_Number","Rice_Cultivar","Experiment_Name","Bay_Length","Nitrogen_Rate","Replicate","Yield","Heading_25","Heading_50","Heading_100","Percent_Stand","Percent_Lodge","Final_Lodge","SPAD","Leaf1_Temp","Leaf2_Temp","Thermal","NDWI","EVI","NAVI","GNDVI","Cigreen","RENDVI","TGI","SAVI","CI_RedEdge","BI","SCI","GLI","NGRDI","SI","VARI","HUE","BGI","PSRI","RVI","TVI","CVI","NDVI","DVI","NRCT","Vegetation_Fraction","contrast_0","contrast_45","contrast_90","contrast_135","dissimilarity_0","dissimilarity_45","dissimilarity_90","dissimilarity_135","homogeneity_0","homogeneity_45","homogeneity_90","homogeneity_135","ASM_0","ASM_45","ASM_90","ASM_135","energy_0","energy_45","energy_90","energy_135","correlation_0","correlation_45","correlation_90","correlation_135"
2021-06-14,33761,"IAC600","Tiara","9' 9""""",75,1,6.002350469,NA,64,66,100,NA,0,NA,NA,NA,38.3538246,-0.3844244,0.2403231,0.4458448,0.3844244,1.2511363,0.1534335,2.9239151,0.132674,0.3629866,0.1888892,0.1088346,0.0402423,-0.1088346,0.3487011,-0.148731,0.0009851,0.6011909,0.1484553,1.8113391,9.6185951,2.8001115,0.287473,0.1143906,0.675842706,0.463636364,35.36511628,148.4031008,126.479798,153.4780362,4.686046512,10.00516796,9.414141414,10.28423773,0.180597973,0.09165446,0.080749307,0.075623785,0.00259059,0.001916284,0.001941766,0.002023116,0.050897834,0.043775386,0.044065476,0.044979057,0.860696562,0.375305578,0.471706492,0.357715475
2021-06-14,33762,"Tiara","Tiara","16' 3""""",75,1,5.922051466,NA,66,71,99,NA,0,NA,NA,NA,38.2750282,-0.3707634,0.2232093,0.4193276,0.3707634,1.1904218,0.1422881,2.6611266,0.1226616,0.3337855,0.1943433,0.1145681,0.0319978,-0.1145681,0.3421231,-0.1577773,0.0011016,0.6174731,0.1590926,1.7442977,8.5709143,2.7531297,0.2674215,0.1047951,0.668283213,0.352668213,26.55238095,70.75925926,44.71059432,62.14021164,4,6.854497354,5.594315245,6.611111111,0.226397166,0.131569739,0.150053209,0.112762364,0.002743764,0.002229081,0.002397025,0.002103105,0.052380952,0.047213144,0.048959419,0.045859619,0.93320151,0.819655284,0.88493879,0.842073818
2021-06-14,33763,"Sierra","Tiara","16' 3""""",75,1,8.331021553,76,78,83,100,NA,0,NA,NA,NA,38.5198059,-0.3770103,0.2306126,0.4328217,0.3770103,1.2150272,0.1492669,2.7272038,0.1263111,0.3518198,0.1885879,0.1110583,0.0356946,-0.1110583,0.3425244,-0.1526735,0.0010004,0.6124629,0.1535766,1.7759252,8.9682369,2.76583,0.277339,0.1088561,0.691766337,0.276744186,20.00952381,81.36243386,68.88372093,87.07671958,3.476190476,7.420634921,7.054263566,7.716931217,0.257026866,0.103062625,0.101880493,0.109484773,0.003446712,0.002428543,0.00260401,0.002309566,0.058708705,0.049280254,0.051029503,0.048057942,0.901637502,0.616114279,0.676204457,0.58732422
2021-06-14,33764,"Scarlett","Tiara","9' 9""""",75,1,10.56505453,74,76,79,100,NA,0,NA,NA,NA,38.313797,-0.389117,0.2472878,0.4556655,0.389117,1.2782323,0.1605363,2.8771291,0.1349463,0.3834115,0.1847425,0.1050617,0.0416893,-0.1050617,0.3423778,-0.144192,0.0009086,0.6053811,0.1433113,1.8478894,9.8625565,2.8116453,0.2959799,0.1177236,0.672002507,0.553488372,29.86428571,99.56613757,71.36175711,88.44708995,4.34047619,8.095238095,6.875968992,7.69047619,0.20093322,0.121468225,0.13685867,0.118197139,0.00287415,0.002397049,0.002383671,0.002306066,0.053611096,0.048959671,0.048822852,0.048021521,0.849768134,0.477061462,0.620056903,0.534000711
2021-06-14,33765,"Tiara","Tiara","9' 9""""",75,1,6.693495458,NA,68,70,100,NA,0,NA,NA,NA,36.9869995,-0.3497553,0.2097588,0.392717,0.3497553,1.0807188,0.129674,2.823318,0.116402,0.2986515,0.2096416,0.1144689,0.0301554,-0.1144689,0.3369251,-0.1582227,0.0012391,0.6244482,0.1618567,1.6539692,8.0579433,2.6191418,0.2451194,0.0996068,0.54471403,0.040909091,36.29069767,104.3255814,68.80555556,87.28682171,4.718604651,8.201550388,6.654040404,7.374677003,0.198044056,0.136460004,0.135330327,0.136639701,0.00253921,0.002059839,0.002302061,0.00225347,0.050390578,0.045385447,0.047979798,0.047470731,0.88263607,0.657640615,0.77727816,0.713155489
2021-06-14,33766,"IAC600","Tiara","16' 3""""",75,1,5.385768839,NA,64,67,99,NA,0,NA,NA,NA,36.9327011,-0.3263204,0.1921423,0.3592671,0.3263204,0.9768625,0.1203362,2.8924282,0.106876,0.2748729,0.2251716,0.1138925,0.0281076,-0.1138925,0.3299496,-0.158363,0.0014244,0.6336675,0.1669363,1.5749174,7.1596098,2.4840765,0.2205853,0.0943177,0.539504772,0.033591731,17.93915344,68.17559524,48.14244186,55.79761905,3.346560847,6.62202381,5.723837209,6.101190476,0.244364568,0.148846207,0.141397798,0.140947314,0.003012934,0.002520018,0.002505577,0.00255102,0.054890196,0.050199785,0.050055742,0.050507627,0.958083223,0.842712353,0.888668034,0.871852608
2021-06-14,33767,"Scarlett","Tiara","16' 3""""",75,1,11.17303269,74,76,79,100,NA,0,NA,NA,NA,37.3370705,-0.4267891,0.2990581,0.5266635,0.4267891,1.5041867,0.1942348,3.201849,0.1580776,0.4851868,0.1642468,0.0778542,0.0658403,-0.0778542,0.3340027,-0.1068463,0.0005732,0.5846115,0.1024656,2.1550238,12.2254028,2.9192202,0.3600763,0.13801,0.578298517,0.868686869,40.35658915,162.0726744,141.0994318,182.0465116,4.919896641,10.4622093,10.03125,11.23837209,0.192686214,0.089652276,0.075722779,0.074036373,0.002460456,0.001935168,0.001868382,0.001939393,0.049602981,0.043990541,0.043224784,0.044038539,0.891356086,0.581893237,0.631860907,0.530072995
2021-06-14,33768,"Sierra","Tiara","9' 9""""",75,1,9.526903133,78,81,84,99,NA,0,NA,NA,NA,37.2953644,-0.3564087,0.2192402,0.4068282,0.3564087,1.1157537,0.1386486,2.9823987,0.1214823,0.3234295,0.2064836,0.109542,0.0359445,-0.109542,0.3390864,-0.1509612,0.0011751,0.6153966,0.1548698,1.7004858,8.5920324,2.6345944,0.2568252,0.1060814,0.574297482,0.19379845,38.42857143,92.2797619,61.78488372,93.30952381,4.814814815,7.779761905,6.151162791,7.726190476,0.190321437,0.125904059,0.165883708,0.117186589,0.00255102,0.002413726,0.002399946,0.002316291,0.050507627,0.049129685,0.048989243,0.048127862,0.896393263,0.7537926,0.832563591,0.751690636
2021-06-14,33769,"IAC600","Tiara","9' 9""""",75,2,5.514820808,NA,64,66,100,NA,0,NA,NA,NA,38.1731148,-0.3556378,0.2082709,0.3969303,0.3556378,1.1069129,0.1333683,2.9025357,0.1169949,0.3083952,0.2033185,0.1171831,0.0331221,-0.1171831,0.3523211,-0.1601007,0.0012261,0.6064908,0.1658834,1.66793,8.0506115,2.6644702,0.2486294,0.1010675,0.658506096,0.065909091,34.24186047,178.2687339,149.3510101,172.0801034,4.358139535,11.19896641,10.29545455,10.96899225,0.230239216,0.067423717,0.074285342,0.06838331,0.002825852,0.002149978,0.002110754,0.002066516,0.053158742,0.046367851,0.045942943,0.045458946,0.859861031,0.249693418,0.371647626,0.269376004
2021-06-14,33770,"Sierra","Tiara","16' 3""""",75,2,8.606332421,79,81,84,99,NA,0,NA,NA,NA,37.7837677,-0.334498,0.1858809,0.3586415,0.334498,1.0147061,0.1216376,2.745733,0.1048475,0.2786365,0.2166544,0.1229798,0.0254597,-0.1229798,0.3474522,-0.1690275,0.0014646,0.6204615,0.1793753,1.5765715,6.7809019,2.5765026,0.2205482,0.0926749,0.621153419,0.059431525,20.43386243,75.69642857,57.71802326,69.0625,3.661375661,7.19047619,6.386627907,6.830357143,0.212181339,0.112692183,0.118266828,0.131400616,0.0026595,0.002187854,0.002264738,0.002298576,0.05157034,0.046774505,0.04758926,0.047943463,0.953675525,0.825022352,0.865871223,0.840662441
