"Date","DOY","Plot_Number","Rice_Cultivar","Experiment_Name","Bay_Length","Nitrogen_Rate","Replicate","Yield","Heading_50","Heading_100","Percent_Stand","Final_Lodge","SPAD","Leaf1_Temp","Leaf2_Temp","Measurement_Stage","Thermal","NDWI","EVI","NAVI","GNDVI","Cigreen","RENDVI","TGI","SAVI","CI_RedEdge","BI","SCI","GLI","NGRDI","SI","VARI","HUE","BGI","PSRI","RVI","TVI","CVI","NDVI","DVI","BNDVI","LCI","LAI","NRCT","contrast_0","contrast_45","contrast_90","contrast_135","dissimilarity_0","dissimilarity_45","dissimilarity_90","dissimilarity_135","homogeneity_0","homogeneity_45","homogeneity_90","homogeneity_135","ASM_0","ASM_45","ASM_90","ASM_135","energy_0","energy_45","energy_90","energy_135","correlation_0","correlation_45","correlation_90","correlation_135"
2022-05-27,147,31820,"Teqing","Mini_Core","16'3""""",130,1,NA,92,95,NA,70,NA,NA,NA,"",21.9841518,-0.3515967,0.1914496,0.4446494,0.3515967,1.0869786,0.1127898,2.4355221,0.1974882,0.2547617,0.124929,0.0723215,0.0648665,-0.0723215,0.3164044,-0.1002083,0.0002774,0.6003827,0.0941505,1.8070263,6.5019021,2.4123812,0.2864567,0.0556059,0.5526196,0.1304754,0.5746645,0.402319039,15.28780488,15.98373984,4.552910053,20.2303523,3.073170732,3.062330623,1.637566138,3.531165312,0.272590066,0.288654857,0.439402344,0.240247168,0.003298632,0.003558288,0.00468212,0.00321678,0.057433716,0.059651384,0.068426017,0.056716665,0.972664208,0.971265308,0.991833982,0.963660891
2022-05-27,147,31821,"Doble Carolina","Mini_Core","22'9""""",130,1,NA,95,98,NA,100,NA,NA,NA,"",22.2065334,-0.3662071,0.2059761,0.4792517,0.3662071,1.1596013,0.1182315,2.6275733,0.2128209,0.2687031,0.1159098,0.0567046,0.0815148,-0.0567046,0.3192376,-0.0779693,0.0001894,0.5782901,0.0712409,1.9301496,7.1377444,2.4196093,0.3159035,0.0568144,0.5767043,0.1392601,0.6272214,0.395102376,28.61862528,38.63170732,13.52380952,37.71707317,4.161862528,4.709756098,2.833333333,4.848780488,0.209476435,0.199674558,0.293041706,0.192082747,0.002322997,0.002331945,0.002913832,0.002296252,0.048197484,0.048290219,0.053979924,0.047919226,0.932112581,0.908601861,0.969206545,0.910505899
2022-05-27,147,31822,"Red Khosha Cerma","Mini_Core","29'3""""",130,1,NA,84,87,NA,100,NA,NA,NA,"",21.4392548,-0.3627109,0.2115224,0.4741463,0.3627109,1.1451591,0.1218126,2.719286,0.2163355,0.2784272,0.1230106,0.0563454,0.0794163,-0.0563454,0.3128126,-0.0778989,0.0002135,0.5862781,0.0724703,1.9218588,7.4207268,2.4000208,0.312365,0.0614136,0.5692233,0.1428158,0.6472879,0.335663462,34.29046563,46.47073171,20.21666667,50.96829268,4.578713969,5.236585366,3.45952381,5.534146341,0.202393519,0.195879043,0.256425848,0.16598703,0.002775306,0.002736466,0.003446712,0.002748364,0.052681172,0.052311245,0.058708705,0.052424842,0.858062971,0.799283642,0.915338782,0.779642332
2022-05-27,147,31823,"EMBRAPA 1200","Mini_Core","29'3""""",130,1,5.203088607,87,90,NA,0,NA,NA,NA,"",21.5544853,-0.3902579,0.2127774,0.5161431,0.3902579,1.2823405,0.1262618,2.5626419,0.2228,0.2893705,0.1007966,0.0482143,0.094915,-0.0482143,0.3324946,-0.0653838,0.0001267,0.5518938,0.0578673,2.0749218,7.3203726,2.5148551,0.348404,0.0562281,0.6101313,0.1512215,0.6518286,0.348126913,36.45232816,48.81463415,24.70952381,58.85365854,4.589800443,5.56097561,3.895238095,5.848780488,0.199976773,0.153620652,0.230115263,0.161530319,0.002598316,0.002558001,0.002851474,0.002486615,0.050973676,0.050576686,0.053399194,0.049865971,0.863410138,0.809256765,0.903717032,0.769205065
2022-05-27,147,31824,"PATNAI 6","Mini_Core","22'9""""",130,1,NA,92,94,NA,80,NA,NA,NA,"",21.8186474,-0.4350906,0.2383749,0.5802476,0.4350906,1.5433095,0.1534994,2.5480313,0.2507629,0.3631183,0.0857697,0.0309807,0.1165868,-0.0309807,0.3449756,-0.0414141,6.21e-05,0.5184196,0.0350316,2.3946333,8.2289267,2.7063303,0.4093267,0.0647953,0.6608816,0.1876218,0.7444404,0.379646345,26.18625277,39.27804878,23.0547619,47.59512195,4.00886918,5.063414634,3.921428571,5.575609756,0.225282356,0.144875288,0.195614426,0.142667324,0.002335288,0.002215943,0.002621882,0.002302201,0.048324822,0.047073803,0.051204317,0.047981257,0.936365611,0.905703995,0.943582997,0.885789989
2022-05-27,147,31825,"M-202","Mini_Core","16'3""""",130,1,7.284553476,79,82,NA,0,NA,NA,NA,"",21.3573456,-0.3638183,0.1825992,0.4633475,0.3638183,1.1466067,0.1080996,2.3160057,0.1931132,0.2428251,0.1062186,0.0692296,0.0754448,-0.0692296,0.3363234,-0.0943004,0.0001994,0.5707165,0.0865804,1.8701297,6.0572824,2.4652524,0.3021072,0.0472362,0.5792981,0.1271055,0.5426441,0.371344274,27.88248337,41.33902439,23.49285714,50.41463415,4.170731707,5.080487805,3.811904762,5.746341463,0.205917589,0.184688345,0.226333925,0.154296764,0.002372161,0.002209994,0.002497166,0.002266508,0.04870484,0.047010574,0.049971647,0.047607857,0.917120753,0.878692053,0.93047743,0.852401865
2022-05-27,147,31826,"ECIA76-S89-1","Mini_Core","16'3""""",130,1,NA,89,91,NA,60,NA,NA,NA,"",21.6327152,-0.3806672,0.2025331,0.5006565,0.3806672,1.2333442,0.1190669,2.4348505,0.2120102,0.271065,0.1010185,0.0525641,0.0885506,-0.0525641,0.3269345,-0.0717564,0.0001372,0.5637254,0.0636904,2.0127666,6.8529778,2.4802592,0.3346328,0.0520113,0.5961077,0.1421045,0.6147647,0.368521137,27.76097561,55.95934959,37.68518519,64.20867209,4.214634146,5.888888889,5.060846561,6.425474255,0.210667678,0.161971899,0.152084567,0.142191211,0.002614515,0.002522749,0.002669998,0.002526421,0.05113233,0.050226973,0.051672024,0.050263515,0.915240221,0.831605569,0.884627799,0.806792495
2022-05-27,147,31827,"Gasym Hany","Mini_Core","22'9""""",130,1,NA,68,70,NA,100,NA,NA,NA,"",20.9053898,-0.394082,0.2280235,0.5438903,0.394082,1.3085051,0.1241931,2.8979661,0.2372926,0.2848136,0.0965583,0.020146,0.1208794,-0.020146,0.3278786,-0.0275272,5.71e-05,0.5279273,0.0253908,2.2322917,8.0000553,2.3993354,0.3758479,0.0554347,0.6260879,0.1524342,0.7069889,0.323577479,18.60681818,26.8825,13.18292683,29.2575,3.315909091,4.1225,2.812195122,4.2775,0.269976001,0.208878296,0.286164702,0.212085935,0.003236054,0.00275625,0.003596074,0.0030625,0.056886323,0.0525,0.059967272,0.055339859,0.931031456,0.901162282,0.952209738,0.892454046
2022-05-27,147,31828,"WAB462-10-3-1","Mini_Core","29'3""""",130,1,3.382021934,80,82,NA,0,NA,NA,NA,"",21.6132603,-0.3787765,0.1951449,0.4896631,0.3787765,1.2226496,0.1178012,2.3276994,0.2053969,0.2676117,0.1013368,0.0610602,0.0821281,-0.0610602,0.3324419,-0.0832224,0.0001615,0.5664226,0.0749327,1.9700835,6.5281439,2.5110784,0.3250008,0.0508985,0.5931742,0.1397596,0.5880342,0.331422796,38.68736142,39.94634146,22.79047619,64.06585366,4.833702882,5.063414634,3.738095238,6.368292683,0.183522929,0.171966287,0.237193911,0.147280254,0.002143549,0.002343843,0.002712585,0.002040452,0.046298477,0.048413252,0.052082483,0.045171364,0.885101598,0.880193618,0.931489114,0.80855082
2022-05-27,147,31829,"RT7521FP","Mini_Core","29'3""""",130,1,18.47163849,83,86,NA,0,NA,NA,NA,"",21.8311558,-0.4405271,0.2737011,0.6005144,0.4405271,1.57981,0.1647364,2.9416463,0.2804141,0.3956229,0.0940485,0.0123618,0.1268267,-0.0123618,0.3230376,-0.0167425,3.11e-05,0.5247815,0.0144317,2.5241168,9.8143063,2.6429744,0.4300116,0.0779584,0.6611234,0.2023767,0.8722506,0.367342262,23.16629712,28.5902439,15.08809524,39.77317073,3.831485588,4.263414634,3.016666667,4.97804878,0.228465016,0.193999923,0.271583695,0.181259596,0.002620439,0.002641285,0.003061224,0.002320048,0.051190228,0.051393433,0.055328334,0.048166872,0.924574173,0.906318468,0.950074203,0.869725316
